Date, Open, High, Low, Close, Volume
12/18/24, 45.55, 46.50, 45.55, 45.70, 297100
12/17/24, 45.00, 46.00, 45.00, 45.55, 74500
12/16/24, 45.00, 45.00, 44.00, 44.70, 157300
12/13/24, 44.90, 44.90, 44.45, 44.60, 24800
12/11/24, 44.00, 44.50, 43.50, 43.80, 113100
12/10/24, 46.00, 46.00, 43.00, 43.30, 124200
12/09/24, 43.45, 45.95, 42.75, 43.00, 51200
12/06/24, 44.40, 44.70, 43.75, 44.60, 43800
12/05/24, 43.00, 43.70, 42.25, 43.45, 191100
12/04/24, 42.00, 43.00, 41.95, 42.10, 26600
12/03/24, 42.50, 42.50, 41.60, 41.90, 14800
12/02/24, 42.50, 42.50, 42.00, 42.05, 18300
11/29/24, 43.95, 43.95, 42.00, 43.15, 95500
11/28/24, 42.00, 43.75, 42.00, 43.55, 28600
11/27/24, 43.00, 43.50, 42.00, 43.00, 34000
11/26/24, 41.05, 44.00, 41.05, 43.05, 16900
11/25/24, 43.00, 45.00, 40.00, 40.45, 135200
11/22/24, 44.00, 44.50, 43.50, 44.05, 6300
11/21/24, 44.50, 44.50, 44.00, 44.10, 2500
11/20/24, 44.00, 44.40, 43.70, 44.00, 241800
11/19/24, 43.95, 44.40, 43.95, 44.00, 27100
11/18/24, 43.70, 44.00, 43.70, 44.00, 186500
11/15/24, 43.80, 43.80, 43.50, 43.80, 85800
11/14/24, 43.80, 43.80, 43.60, 43.80, 49800
11/13/24, 43.40, 43.80, 42.95, 43.65, 139800
11/12/24, 43.80, 43.80, 43.30, 43.50, 23800
11/11/24, 44.00, 44.00, 43.50, 43.80, 30500
11/08/24, 43.30, 43.80, 43.00, 43.30, 30800
11/07/24, 44.00, 44.00, 43.00, 43.35, 33700
11/06/24, 45.00, 45.00, 43.50, 43.80, 939600
11/05/24, 44.00, 44.00, 43.80, 43.80, 262500
11/04/24, 44.30, 44.30, 42.50, 43.10, 80200
10/31/24, 44.00, 44.70, 43.50, 44.05, 141300
10/30/24, 44.70, 44.70, 44.00, 44.05, 55000
10/29/24, 44.70, 44.70, 44.00, 44.10, 30200
10/28/24, 44.70, 44.70, 43.90, 44.00, 78900
10/25/24, 44.80, 44.80, 43.60, 44.00, 29300
10/24/24, 44.00, 44.00, 43.70, 43.90, 46800
10/23/24, 44.00, 44.50, 43.50, 43.95, 11500
10/22/24, 43.00, 44.15, 43.00, 43.30, 6100
10/18/24, 44.50, 45.00, 43.60, 44.15, 32200
10/17/24, 44.50, 44.50, 43.00, 44.05, 50700
10/16/24, 47.00, 47.00, 42.10, 43.80, 55800
10/15/24, 44.25, 44.25, 43.95, 44.00, 57300
10/14/24, 44.40, 47.00, 43.95, 44.25, 57500
10/11/24, 44.00, 44.50, 43.10, 43.95, 8400
10/09/24, 44.00, 44.00, 44.00, 44.00, 5200
10/08/24, 44.00, 44.50, 41.75, 42.20, 91900
10/07/24, 44.30, 44.30, 44.00, 44.00, 29900
10/04/24, 44.50, 44.50, 43.65, 44.15, 7900
10/03/24, 43.65, 44.00, 43.65, 44.00, 6800
10/02/24, 44.00, 44.00, 43.50, 43.65, 4900
10/01/24, 42.70, 44.00, 42.10, 43.45, 36500
09/30/24, 42.40, 42.90, 42.40, 42.70, 3600
09/27/24, 43.00, 43.00, 42.40, 42.60, 2700
09/26/24, 42.50, 43.50, 42.00, 42.15, 31700
09/25/24, 41.05, 42.00, 41.00, 41.55, 20900
09/24/24, 41.55, 42.50, 41.00, 41.30, 12000
09/23/24, 42.00, 42.50, 41.10, 41.90, 4600
09/20/24, 41.00, 41.50, 41.00, 41.00, 175300
09/19/24, 41.00, 42.00, 41.00, 41.00, 644100
09/18/24, 42.95, 42.95, 41.00, 41.00, 110500
09/17/24, 40.20, 43.50, 40.00, 40.75, 12500
09/16/24, 40.25, 42.50, 40.00, 40.20, 8700
09/13/24, 40.60, 40.60, 39.50, 40.25, 193000
09/12/24, 42.45, 42.45, 40.10, 40.55, 33900
09/11/24, 44.45, 44.45, 43.50, 43.95, 12100
09/10/24, 44.45, 44.50, 44.20, 44.50, 318800
09/09/24, 44.50, 44.50, 44.40, 44.45, 9600
09/06/24, 43.10, 44.90, 43.10, 43.70, 27400
09/05/24, 45.00, 45.00, 43.05, 43.10, 85400
09/04/24, 44.50, 45.00, 44.00, 44.50, 8500
09/03/24, 43.90, 45.20, 43.90, 44.20, 39700
09/02/24, 45.00, 45.00, 43.00, 44.20, 5000
08/30/24, 43.00, 45.20, 43.00, 43.05, 122000
08/29/24, 42.80, 43.00, 42.40, 42.55, 53100
08/28/24, 42.50, 42.85, 42.20, 42.45, 32400
08/27/24, 42.00, 42.90, 42.00, 42.05, 114500
08/26/24, 41.90, 42.90, 41.90, 42.05, 209000
08/23/24, 42.00, 42.85, 42.00, 42.00, 282900
08/22/24, 39.20, 42.90, 39.20, 41.10, 211200
08/21/24, 39.20, 39.20, 38.80, 39.00, 303900
08/20/24, 39.00, 39.10, 38.90, 39.00, 148600
08/19/24, 39.00, 39.10, 39.00, 39.05, 6900
08/16/24, 39.00, 39.20, 38.95, 39.00, 233000
08/15/24, 38.95, 39.00, 38.90, 39.00, 276600
08/14/24, 38.95, 39.00, 38.95, 39.00, 93200
08/13/24, 38.60, 39.00, 38.60, 38.95, 18000
08/12/24, 39.50, 39.50, 38.55, 39.00, 21800
08/09/24, 39.50, 39.50, 39.00, 39.45, 3000
08/08/24, 39.50, 39.50, 39.00, 39.00, 12900
08/07/24, 39.00, 39.95, 38.50, 39.50, 13700
08/06/24, 39.95, 39.95, 38.50, 38.55, 20000
08/05/24, 39.95, 39.95, 38.00, 38.80, 35100
08/02/24, 39.50, 39.95, 39.00, 39.05, 51800
08/01/24, 39.50, 39.95, 39.50, 39.85, 2100
07/31/24, 40.80, 40.80, 39.90, 40.00, 35700
07/30/24, 41.00, 41.00, 40.00, 40.55, 18300
07/29/24, 40.70, 40.90, 40.55, 40.80, 4400
07/26/24, 41.00, 41.00, 40.60, 40.90, 19900
07/25/24, 40.70, 41.00, 40.70, 40.90, 5000
07/24/24, 41.00, 41.00, 40.55, 40.70, 8700
07/23/24, 41.50, 41.50, 40.50, 40.85, 11300
07/22/24, 40.85, 41.50, 40.50, 40.80, 4100
07/19/24, 41.50, 41.50, 40.50, 40.85, 63300
07/18/24, 40.90, 41.00, 40.85, 40.90, 144000
07/17/24, 41.00, 41.45, 41.00, 41.00, 134000
07/16/24, 41.50, 41.50, 41.00, 41.00, 1242900
07/15/24, 41.00, 42.00, 40.50, 41.35, 13300
07/12/24, 41.50, 42.00, 41.20, 41.20, 101500
07/11/24, 41.00, 41.20, 40.85, 41.20, 534100
07/10/24, 41.15, 41.20, 41.00, 41.15, 91800
07/09/24, 41.00, 41.15, 41.00, 41.10, 15500
07/08/24, 41.00, 41.20, 40.95, 41.15, 9100
07/05/24, 40.90, 41.20, 40.85, 41.10, 21200
07/04/24, 40.85, 41.00, 40.85, 40.90, 19700
07/03/24, 41.20, 41.20, 39.60, 40.55, 9900
07/02/24, 41.20, 41.20, 41.15, 41.20, 26600
07/01/24, 41.20, 41.20, 41.00, 41.20, 62200
06/28/24, 40.00, 41.20, 39.50, 41.10, 63400
06/27/24, 41.20, 41.20, 40.00, 40.90, 87500
06/26/24, 41.00, 41.00, 40.00, 40.80, 4600
06/25/24, 41.00, 41.20, 41.00, 41.00, 36800
06/24/24, 41.20, 41.20, 40.00, 40.80, 6800
06/21/24, 40.80, 41.00, 40.65, 40.90, 53100
06/20/24, 41.50, 42.00, 40.80, 41.15, 13600
06/19/24, 40.80, 42.50, 40.70, 41.00, 17200
06/18/24, 40.80, 40.80, 40.00, 40.60, 13200
06/14/24, 42.00, 42.00, 39.90, 40.80, 14100
06/13/24, 42.50, 42.50, 40.50, 41.95, 254400
06/12/24, 40.75, 41.00, 40.40, 40.60, 9800
06/11/24, 41.50, 43.00, 40.50, 41.45, 10900
06/10/24, 42.00, 42.50, 41.50, 42.00, 3800
06/07/24, 42.00, 42.05, 41.00, 41.90, 10600
06/06/24, 41.00, 43.00, 40.50, 41.30, 4000
06/05/24, 43.00, 43.00, 40.50, 42.05, 24100
06/04/24, 42.50, 43.50, 42.50, 43.20, 3800
06/03/24, 41.45, 43.00, 41.45, 42.00, 260000
05/31/24, 42.00, 42.00, 42.00, 42.00, 12800
05/30/24, 41.45, 42.50, 40.00, 41.40, 321800
05/29/24, 42.00, 42.00, 39.55, 41.45, 923700
05/28/24, 40.60, 42.00, 40.60, 41.40, 24500
05/27/24, 42.00, 42.00, 39.00, 40.60, 90300
05/24/24, 41.00, 41.50, 40.00, 41.05, 14500
05/23/24, 39.65, 41.00, 39.65, 40.00, 9900
05/22/24, 38.80, 41.25, 38.80, 39.65, 20200
05/21/24, 39.00, 40.00, 38.80, 39.65, 14000
05/20/24, 38.50, 39.50, 38.20, 38.40, 13900
05/17/24, 39.00, 39.45, 38.10, 38.30, 10300
05/16/24, 37.50, 38.00, 37.50, 37.65, 21200
05/15/24, 38.00, 38.00, 37.50, 37.55, 17500
05/14/24, 39.50, 39.50, 37.20, 37.85, 49000
05/13/24, 38.10, 38.10, 37.50, 38.00, 14400
05/09/24, 38.05, 39.75, 38.05, 38.20, 34800
05/08/24, 39.50, 39.50, 37.50, 38.00, 15700
05/07/24, 38.00, 38.00, 36.20, 37.95, 47500
05/06/24, 39.00, 39.00, 36.00, 38.10, 28800
05/03/24, 39.90, 40.00, 38.50, 39.35, 11300
05/02/24, 43.05, 43.05, 42.00, 42.75, 6500
04/30/24, 43.90, 44.95, 43.50, 44.30, 7400
04/29/24, 45.00, 45.00, 43.80, 43.85, 23700
04/26/24, 44.00, 45.00, 44.00, 44.05, 120400
04/25/24, 44.00, 45.00, 43.80, 44.00, 5500
04/24/24, 45.00, 45.00, 44.00, 44.20, 3200
04/23/24, 44.40, 44.80, 43.85, 44.05, 8700
04/22/24, 44.00, 45.00, 42.60, 44.65, 36000
04/19/24, 44.50, 45.50, 44.00, 44.90, 138500
04/18/24, 44.00, 45.50, 44.00, 45.00, 35300
04/17/24, 45.00, 45.00, 43.20, 44.65, 174600
04/16/24, 43.10, 45.00, 43.00, 43.80, 103900
04/15/24, 44.50, 45.00, 43.00, 43.60, 46400
04/12/24, 45.00, 45.00, 44.00, 44.50, 376100
04/11/24, 44.00, 45.00, 44.00, 44.40, 20100
04/09/24, 45.00, 45.00, 43.05, 43.70, 11400
04/08/24, 45.75, 45.75, 44.00, 44.10, 17400
04/05/24, 45.75, 45.75, 44.00, 45.20, 47000
04/04/24, 44.50, 45.75, 44.50, 45.00, 10300
04/03/24, 43.00, 44.50, 43.00, 43.50, 72800
04/02/24, 45.00, 45.00, 43.00, 43.35, 30600
03/28/24, 44.00, 44.50, 43.00, 43.80, 151300
03/27/24, 46.50, 46.50, 42.85, 43.30, 136300
03/26/24, 43.30, 45.00, 42.85, 44.55, 135800
03/25/24, 42.40, 43.00, 42.30, 42.85, 35400
03/22/24, 42.65, 42.65, 41.50, 41.80, 12800
03/21/24, 42.15, 43.00, 41.60, 42.60, 64900
03/20/24, 41.60, 43.00, 41.60, 42.85, 52600
03/19/24, 42.70, 42.70, 41.50, 42.10, 9600
03/18/24, 42.00, 43.00, 42.00, 42.55, 27400
03/15/24, 40.10, 42.90, 40.10, 41.55, 41100
03/14/24, 41.50, 41.50, 41.00, 41.25, 1700
03/13/24, 40.00, 41.50, 39.10, 39.70, 136900
03/12/24, 40.00, 40.00, 40.00, 40.00, 23300
03/11/24, 39.95, 40.00, 39.00, 39.30, 4700
03/08/24, 39.95, 39.95, 39.00, 39.70, 5700
03/07/24, 39.00, 40.00, 39.00, 39.95, 18900
03/06/24, 38.40, 40.00, 38.00, 38.20, 44100
03/05/24, 38.95, 38.95, 38.00, 38.05, 51200
03/04/24, 39.10, 39.10, 38.00, 39.10, 35300
03/01/24, 39.00, 39.10, 39.00, 39.10, 120300
02/29/24, 39.45, 39.45, 37.50, 39.15, 6700
02/28/24, 39.50, 39.50, 38.00, 39.15, 82800
02/27/24, 39.50, 40.00, 38.00, 38.50, 39900
02/26/24, 39.00, 39.00, 38.50, 38.70, 22400
02/23/24, 37.50, 38.50, 37.30, 37.60, 20600
02/22/24, 37.40, 37.50, 37.20, 37.45, 46400
02/21/24, 37.00, 37.50, 37.00, 37.30, 6600
02/20/24, 37.80, 38.00, 37.00, 37.35, 29500
02/19/24, 36.50, 37.50, 36.30, 36.65, 16900
02/16/24, 37.00, 37.00, 36.00, 36.30, 14500
02/15/24, 38.00, 38.00, 37.25, 37.60, 11700
02/14/24, 38.00, 38.00, 37.50, 37.65, 18500
02/13/24, 39.00, 39.00, 38.00, 38.10, 2200
02/12/24, 37.50, 38.90, 37.00, 37.25, 11700
02/09/24, 39.00, 39.00, 37.00, 37.60, 2800
02/08/24, 39.00, 39.05, 37.50, 38.50, 8300
02/07/24, 39.90, 39.90, 37.50, 38.55, 1400
02/06/24, 38.10, 39.90, 38.00, 38.05, 25300
02/05/24, 38.00, 40.00, 37.60, 38.05, 18500
02/02/24, 37.70, 38.00, 37.50, 37.70, 14300
02/01/24, 37.60, 37.60, 37.50, 37.50, 47100
01/31/24, 37.65, 37.65, 37.60, 37.60, 20200
01/30/24, 37.20, 37.50, 37.20, 37.25, 5800
01/29/24, 37.10, 37.75, 37.10, 37.65, 10100
01/26/24, 37.50, 37.50, 36.60, 37.15, 2800
01/25/24, 37.00, 37.90, 37.00, 37.65, 1600
01/24/24, 37.50, 37.90, 37.00, 37.55, 24400
01/23/24, 38.00, 38.00, 37.60, 37.70, 1700
01/22/24, 38.00, 38.00, 37.60, 37.95, 4100
01/19/24, 38.50, 38.50, 37.50, 38.00, 2000
01/18/24, 38.95, 38.95, 36.55, 37.65, 4300
01/17/24, 37.50, 38.50, 35.00, 36.60, 28400
01/16/24, 37.50, 37.60, 37.50, 37.55, 8700
01/15/24, 38.00, 38.00, 37.60, 37.60, 37500
01/12/24, 37.95, 38.00, 37.65, 37.80, 8700
01/11/24, 37.75, 38.00, 37.75, 37.95, 600
01/10/24, 38.00, 38.00, 37.65, 37.75, 2600
01/09/24, 37.85, 37.85, 37.80, 37.80, 700
01/08/24, 38.95, 39.00, 36.50, 37.60, 5800
01/05/24, 38.50, 38.60, 37.50, 38.05, 4100
01/04/24, 38.50, 38.50, 38.10, 38.45, 1200
01/03/24, 38.10, 38.95, 36.50, 38.05, 11300
01/02/24, 38.20, 38.95, 38.10, 38.85, 2200
12/29/23, 39.00, 39.00, 38.20, 38.95, 5300
12/28/23, 40.00, 40.00, 39.00, 39.45, 3500
12/27/23, 40.90, 40.90, 40.00, 40.25, 700
12/22/23, 40.00, 41.00, 39.00, 40.00, 27500
12/21/23, 39.90, 40.00, 39.00, 39.00, 374600
12/20/23, 40.00, 40.00, 39.00, 39.25, 6100
12/19/23, 38.50, 40.00, 38.50, 39.00, 13600
12/18/23, 41.00, 41.00, 38.30, 39.65, 1000
12/15/23, 39.00, 40.00, 38.55, 39.70, 103300
12/14/23, 38.00, 38.50, 38.00, 38.30, 69200
12/13/23, 38.30, 38.30, 38.00, 38.20, 6600
12/11/23, 38.30, 38.30, 38.00, 38.05, 12600
12/08/23, 38.00, 39.80, 38.00, 38.00, 51000
12/07/23, 39.50, 39.50, 38.05, 38.90, 12000
12/06/23, 40.00, 40.00, 38.00, 38.70, 121900
12/05/23, 36.60, 39.50, 36.60, 39.45, 15000
12/04/23, 39.00, 39.50, 36.30, 38.15, 5000
12/01/23, 38.50, 39.00, 36.05, 39.00, 15800
11/30/23, 38.95, 39.00, 38.35, 38.90, 49000
11/29/23, 39.00, 39.00, 38.50, 38.85, 44200
11/28/23, 39.50, 39.50, 38.50, 39.00, 89700
11/27/23, 38.10, 39.00, 37.00, 38.35, 15800
11/24/23, 36.00, 38.50, 35.95, 38.10, 916300
11/23/23, 35.50, 36.00, 35.50, 35.90, 21600
11/22/23, 35.80, 36.00, 35.50, 35.95, 56500
11/21/23, 36.50, 36.50, 36.00, 36.05, 10700
11/20/23, 36.40, 37.00, 36.00, 36.10, 5200
11/17/23, 35.95, 36.00, 35.00, 35.65, 27300
11/16/23, 36.00, 36.00, 35.00, 35.45, 29800
11/15/23, 36.20, 36.35, 34.55, 35.65, 11700
11/14/23, 34.20, 36.45, 34.20, 36.40, 16200
11/10/23, 36.50, 36.50, 34.05, 35.00, 79900
11/09/23, 35.20, 36.40, 35.00, 35.35, 8900
11/08/23, 36.45, 36.45, 35.15, 35.80, 6800
11/07/23, 37.05, 37.05, 36.00, 36.65, 70900
11/06/23, 39.50, 39.50, 37.00, 37.75, 13400
11/03/23, 39.10, 39.10, 37.00, 37.15, 4000
11/02/23, 39.70, 39.70, 37.00, 39.10, 48300
11/01/23, 40.00, 40.00, 38.00, 39.35, 11200
10/31/23, 39.90, 39.90, 38.00, 38.55, 82000
10/30/23, 39.00, 39.00, 37.00, 37.30, 2000
10/27/23, 39.00, 39.00, 39.00, 39.00, 9500
10/26/23, 38.00, 39.00, 38.00, 38.90, 8700
10/25/23, 39.50, 39.95, 38.00, 39.50, 41300
10/24/23, 39.50, 40.00, 39.50, 39.70, 79600
10/23/23, 40.00, 40.00, 39.50, 39.55, 1200
10/19/23, 40.00, 40.00, 39.00, 39.80, 28600
10/18/23, 40.00, 40.00, 39.20, 39.60, 35800
10/17/23, 38.70, 40.00, 38.70, 39.45, 24600
10/16/23, 37.50, 39.50, 37.00, 38.70, 12000
10/13/23, 38.90, 39.00, 38.90, 38.95, 7800
10/12/23, 38.90, 39.00, 38.80, 38.90, 314000
10/11/23, 38.90, 38.90, 38.50, 38.90, 105800
10/09/23, 38.95, 39.50, 38.50, 38.95, 3400
10/06/23, 38.95, 39.50, 38.95, 39.10, 1900
10/05/23, 37.60, 38.00, 37.30, 37.55, 67000
10/04/23, 37.60, 37.65, 37.55, 37.65, 15100
10/03/23, 37.65, 37.70, 37.65, 37.65, 6800
10/02/23, 37.90, 38.00, 37.50, 37.65, 24800
09/29/23, 38.00, 38.00, 37.50, 37.85, 36100
09/28/23, 37.60, 38.00, 37.60, 37.70, 9000
09/27/23, 37.50, 38.00, 37.50, 37.55, 43800
09/26/23, 37.00, 38.00, 37.00, 37.50, 44600
09/25/23, 38.00, 38.00, 37.00, 37.35, 23000
09/22/23, 37.95, 37.95, 37.15, 37.25, 1800
09/21/23, 37.50, 37.50, 37.15, 37.35, 1500
09/20/23, 38.00, 38.00, 37.00, 37.15, 9300
09/19/23, 37.50, 38.00, 37.00, 37.30, 42700
09/18/23, 37.50, 37.50, 36.85, 36.90, 8100
09/15/23, 39.20, 39.20, 36.85, 37.40, 7200
09/14/23, 40.50, 40.50, 39.60, 40.30, 553400
09/13/23, 40.40, 40.50, 39.60, 40.30, 16800
09/12/23, 40.50, 40.90, 40.00, 40.15, 18800
09/11/23, 40.20, 40.90, 40.00, 40.40, 7900
09/08/23, 39.90, 40.00, 39.90, 40.00, 55500
09/07/23, 39.50, 40.00, 39.50, 40.00, 69800
09/06/23, 40.00, 40.00, 39.55, 39.95, 45300
09/05/23, 40.00, 40.50, 39.70, 40.00, 29500
09/04/23, 41.80, 41.80, 39.90, 40.00, 184600
09/01/23, 40.00, 41.90, 39.90, 40.00, 1401300
08/31/23, 39.80, 40.00, 39.05, 39.70, 37200
08/30/23, 39.00, 40.00, 38.55, 39.05, 524500
08/29/23, 38.45, 39.95, 38.00, 38.80, 17800
08/28/23, 38.55, 38.60, 38.00, 38.45, 24200
08/25/23, 38.45, 38.45, 37.50, 38.30, 174900
08/24/23, 38.45, 38.45, 36.55, 37.45, 56000
08/23/23, 38.00, 38.00, 36.00, 36.35, 11700
08/22/23, 38.70, 38.75, 38.00, 38.55, 19700
08/21/23, 38.75, 38.75, 38.55, 38.60, 45700
08/18/23, 38.80, 38.80, 38.55, 38.70, 42200
08/17/23, 38.80, 39.00, 38.80, 38.95, 25100
08/16/23, 39.00, 40.00, 38.65, 39.00, 93600
08/15/23, 39.00, 39.00, 38.65, 38.70, 48900
08/14/23, 38.55, 39.00, 38.55, 39.00, 267700
08/11/23, 40.00, 40.00, 38.55, 39.25, 76800
08/10/23, 40.00, 40.00, 39.60, 40.00, 18300
08/09/23, 39.90, 39.90, 39.00, 39.00, 407100
08/08/23, 40.00, 40.00, 38.55, 39.35, 23400
08/07/23, 41.00, 42.00, 39.90, 40.55, 30500
08/04/23, 40.00, 42.00, 40.00, 41.70, 21000
08/03/23, 40.00, 41.00, 39.50, 40.10, 30600
08/02/23, 38.30, 40.00, 38.30, 39.20, 3900
08/01/23, 38.45, 39.00, 38.25, 38.25, 631500
07/31/23, 38.20, 38.55, 38.20, 38.45, 71600
07/28/23, 38.55, 38.55, 38.05, 38.35, 21300
07/27/23, 38.25, 38.55, 38.00, 38.30, 69900
07/26/23, 38.50, 38.50, 38.00, 38.25, 16700
07/25/23, 38.10, 38.50, 38.00, 38.15, 26400
07/24/23, 38.50, 38.55, 38.10, 38.25, 31400
07/21/23, 39.00, 39.00, 38.50, 38.55, 14900
07/20/23, 40.00, 40.00, 38.55, 38.90, 12800
07/19/23, 38.55, 40.00, 38.55, 38.70, 9500
07/18/23, 40.00, 40.00, 38.55, 38.75, 17400
07/17/23, 40.00, 40.00, 38.55, 39.85, 14900
07/14/23, 39.50, 40.00, 39.35, 39.85, 5100
07/13/23, 39.60, 40.00, 38.50, 39.35, 30000
07/12/23, 39.40, 40.00, 39.35, 39.50, 3500
07/11/23, 39.20, 39.50, 39.05, 39.40, 61000
07/10/23, 39.20, 39.35, 39.15, 39.25, 17900
07/07/23, 39.50, 39.50, 39.20, 39.40, 30000
07/06/23, 39.00, 40.00, 39.00, 39.50, 34700
07/05/23, 38.50, 39.00, 38.20, 38.95, 58600
07/04/23, 38.50, 38.50, 38.10, 38.30, 5500
07/03/23, 39.00, 39.10, 38.40, 38.85, 7500
06/30/23, 38.50, 39.00, 38.40, 38.85, 44600
06/29/23, 39.00, 39.00, 38.00, 38.40, 10200
06/27/23, 39.00, 39.20, 38.00, 38.95, 85600
06/26/23, 40.90, 40.90, 39.00, 39.10, 51600
06/23/23, 39.00, 39.40, 38.55, 38.95, 8600
06/22/23, 39.05, 39.50, 38.20, 38.20, 3340500
